大類代碼,大類,細類代碼,細類
A,農、林、漁、牧業,0111,稻作栽培業
A,農、林、漁、牧業,0112,雜糧栽培業
A,農、林、漁、牧業,0113,特用作物栽培業
A,農、林、漁、牧業,0114,蔬菜栽培業
A,農、林、漁、牧業,0115,果樹栽培業
A,農、林、漁、牧業,0116,食用菇蕈栽培業
A,農、林、漁、牧業,0117,花卉栽培業
A,農、林、漁、牧業,0119,其他農作物栽培業
A,農、林、漁、牧業,0121,牛飼育業
A,農、林、漁、牧業,0122,豬飼育業
A,農、林、漁、牧業,0123,雞飼育業
A,農、林、漁、牧業,0124,鴨飼育業
A,農、林、漁、牧業,0129,其他畜牧業
A,農、林、漁、牧業,0130,農事及畜牧服務業
A,農、林、漁、牧業,0200,林業
A,農、林、漁、牧業,0310,漁撈業
A,農、林、漁、牧業,0321,海面養殖業
A,農、林、漁、牧業,0322,內陸養殖業
B,礦業及土石採取業,0500,石油及天然氣礦業
B,礦業及土石採取業,0600,砂、石採取及其他礦業
C,製造業,0811,屠宰業
C,製造業,0812,肉類其他加工及保藏業
C,製造業,0820,水產加工及保藏業
C,製造業,0830,蔬果加工及保藏業
C,製造業,0840,動植物油脂製造業
C,製造業,0850,乳品製造業
C,製造業,0861,碾榖業
C,製造業,0862,磨粉製品製造業
C,製造業,0863,澱粉及其製品製造業
C,製造業,0870,動物飼品製造業
C,製造業,0891,烘焙炊蒸食品製造業
C,製造業,0892,麵條及粉條類食品製造業
C,製造業,0893,製糖業
C,製造業,0894,巧克力及糖果製造業
C,製造業,0895,製茶業
C,製造業,0896,調味品製造業
C,製造業,0897,膳食及菜餚製造業
C,製造業,0898,保健營養食品製造業
C,製造業,0899,未分類其他食品製造業
C,製造業,0911,啤酒製造業
C,製造業,0919,其他酒精飲料製造業
C,製造業,0920,非酒精飲料製造業
C,製造業,1000,菸草製造業
C,製造業,1111,棉毛紡紗業
C,製造業,1112,人造纖維紡紗業
C,製造業,1113,人造纖維加工絲業
C,製造業,1119,其他紡紗業
C,製造業,1121,棉毛梭織布業
C,製造業,1122,人造纖維梭織布業
C,製造業,1123,玻璃纖維梭織布業
C,製造業,1124,針織布業
C,製造業,1129,其他織布業
C,製造業,1130,不織布業
C,製造業,1140,染整業
C,製造業,1151,紡織製成品製造業
C,製造業,1152,繩、纜及網製造業
C,製造業,1159,其他紡織品製造業
C,製造業,1210,成衣製造業
C,製造業,1230,服飾品製造業
C,製造業,1301,皮革及毛皮整製業
C,製造業,1302,鞋類製造業
C,製造業,1303,行李箱及手提袋製造業
