縣市代碼,縣市,郵遞區號,名稱
17,基隆市,200,仁愛區
17,基隆市,201,信義區
17,基隆市,202,中正區
17,基隆市,203,中山區
17,基隆市,204,安樂區
17,基隆市,205,暖暖區
17,基隆市,206,七堵區
63,臺北市,100,中正區
63,臺北市,103,大同區
63,臺北市,104,中山區
63,臺北市,105,松山區
63,臺北市,106,大安區
63,臺北市,108,萬華區
63,臺北市,110,信義區
63,臺北市,111,士林區
63,臺北市,112,北投區
63,臺北市,114,內湖區
63,臺北市,115,南港區
63,臺北市,116,文山區
65,新北市,207,萬里區
65,新北市,208,金山區
65,新北市,220,板橋區
65,新北市,221,汐止區
65,新北市,222,深坑區
65,新北市,223,石碇區
65,新北市,224,瑞芳區
65,新北市,226,平溪區
65,新北市,227,雙溪區
65,新北市,228,貢寮區
65,新北市,231,新店區
65,新北市,232,坪林區
65,新北市,233,烏來區
65,新北市,234,永和區
65,新北市,235,中和區
65,新北市,236,土城區
65,新北市,237,三峽區
65,新北市,238,樹林區
65,新北市,239,鶯歌區
65,新北市,241,三重區
65,新北市,242,新莊區
65,新北市,243,泰山區
65,新北市,244,林口區
65,新北市,247,蘆洲區
65,新北市,248,五股區
65,新北市,249,八里區
65,新北市,251,淡水區
65,新北市,252,三芝區
65,新北市,253,石門區
68,桃園市,320,中壢區
68,桃園市,324,平鎮區
68,桃園市,325,龍潭區
68,桃園市,326,楊梅區
68,桃園市,327,新屋區
68,桃園市,328,觀音區
68,桃園市,330,桃園區
68,桃園市,333,龜山區
68,桃園市,334,八德區
68,桃園市,335,大溪區
68,桃園市,336,復興區
68,桃園市,337,大園區
68,桃園市,338,蘆竹區
4,新竹縣,300,新竹市
4,新竹縣,302,竹北市
4,新竹縣,303,湖口鄉
4,新竹縣,304,新豐鄉
4,新竹縣,305,新埔鎮
4,新竹縣,306,關西鎮
4,新竹縣,307,芎林鄉
4,新竹縣,308,寶山鄉
4,新竹縣,310,竹東鎮
4,新竹縣,311,五峰鄉
4,新竹縣,312,橫山鄉
4,新竹縣,313,尖石鄉
4,新竹縣,314,北埔鄉
4,新竹縣,315,峨眉鄉
25,新竹市,300,新竹市
5,苗栗縣,350,竹南鎮
5,苗栗縣,351,頭份市
5,苗栗縣,352,三灣鄉
5,苗栗縣,353,南庄鄉
5,苗栗縣,354,獅潭鄉
5,苗栗縣,356,後龍鎮
